[   0.0m] =================================================================
[   0.0m] SSEE-V3.6 — MCMC PROFESIONAL (overnight)
[  53.3m]   ΛCDM: 14000/25000 pasos  aceptación=0.647
[  53.7m]   ΛCDM: 14500/25000 pasos  aceptación=0.647
[  54.2m]   ΛCDM: 15000/25000 pasos  aceptación=0.647
[  54.7m]   ΛCDM: 15500/25000 pasos  aceptación=0.647
[  55.2m]   ΛCDM: 16000/25000 pasos  aceptación=0.647
[  55.7m]   ΛCDM: 16500/25000 pasos  aceptación=0.647
[  56.2m]   ΛCDM: 17000/25000 pasos  aceptación=0.647
[  56.7m]   ΛCDM: 17500/25000 pasos  aceptación=0.647
[  57.2m]   ΛCDM: 18000/25000 pasos  aceptación=0.647
[  57.7m]   ΛCDM: 18500/25000 pasos  aceptación=0.647
[  58.3m]   ΛCDM: 19000/25000 pasos  aceptación=0.647
[  58.8m]   ΛCDM: 19500/25000 pasos  aceptación=0.647
[  59.4m]   ΛCDM: 20000/25000 pasos  aceptación=0.647
[  59.9m]   ΛCDM: 20500/25000 pasos  aceptación=0.647
[  60.5m]   ΛCDM: 21000/25000 pasos  aceptación=0.647
[  61.1m]   ΛCDM: 21500/25000 pasos  aceptación=0.647
[  61.7m]   ΛCDM: 22000/25000 pasos  aceptación=0.647
[  62.3m]   ΛCDM: 22500/25000 pasos  aceptación=0.647
[  62.9m]   ΛCDM: 23000/25000 pasos  aceptación=0.647
[  63.5m]   ΛCDM: 23500/25000 pasos  aceptación=0.647
[  64.2m]   ΛCDM: 24000/25000 pasos  aceptación=0.647
[  64.8m]   ΛCDM: 24500/25000 pasos  aceptación=0.647
[  65.5m]   ΛCDM: 25000/25000 pasos  aceptación=0.647
[  65.8m]   τ_max=38.8  N_eff≈64505  ln P_MAP=-7.30
[  65.8m] 
[CPL]  ndim=5  100w × 25000s  (guardado cada 500)
[  65.8m]   Burn-in: 5000 pasos...
[  71.6m]   Burn-in completo. Iniciando producción...
[  72.2m]   CPL: 500/25000 pasos  aceptación=0.550
[  72.7m]   CPL: 1000/25000 pasos  aceptación=0.551
[  73.3m]   CPL: 1500/25000 pasos  aceptación=0.550
[  73.9m]   CPL: 2000/25000 pasos  aceptación=0.551
[  74.5m]   CPL: 2500/25000 pasos  aceptación=0.551
[  75.1m]   CPL: 3000/25000 pasos  aceptación=0.551
[  75.7m]   CPL: 3500/25000 pasos  aceptación=0.551
[  76.3m]   CPL: 4000/25000 pasos  aceptación=0.551
[  76.9m]   CPL: 4500/25000 pasos  aceptación=0.551
[  77.5m]   CPL: 5000/25000 pasos  aceptación=0.552
[  78.0m]   CPL: 5500/25000 pasos  aceptación=0.552
[  78.6m]   CPL: 6000/25000 pasos  aceptación=0.552
[  79.2m]   CPL: 6500/25000 pasos  aceptación=0.552
[  79.8m]   CPL: 7000/25000 pasos  aceptación=0.552
[  80.4m]   CPL: 7500/25000 pasos  aceptación=0.552
[  81.1m]   CPL: 8000/25000 pasos  aceptación=0.552
[  81.7m]   CPL: 8500/25000 pasos  aceptación=0.552
[  82.3m]   CPL: 9000/25000 pasos  aceptación=0.552
[  82.9m]   CPL: 9500/25000 pasos  aceptación=0.551
[  83.5m]   CPL: 10000/25000 pasos  aceptación=0.551
[  84.2m]   CPL: 10500/25000 pasos  aceptación=0.551
[  84.8m]   CPL: 11000/25000 pasos  aceptación=0.551
[  85.5m]   CPL: 11500/25000 pasos  aceptación=0.551
[  86.2m]   CPL: 12000/25000 pasos  aceptación=0.551
[  86.8m]   CPL: 12500/25000 pasos  aceptación=0.551
[  87.5m]   CPL: 13000/25000 pasos  aceptación=0.551
[  88.2m]   CPL: 13500/25000 pasos  aceptación=0.551
[  88.9m]   CPL: 14000/25000 pasos  aceptación=0.551
[  89.6m]   CPL: 14500/25000 pasos  aceptación=0.551
[  90.4m]   CPL: 15000/25000 pasos  aceptación=0.551
[  91.1m]   CPL: 15500/25000 pasos  aceptación=0.551
[  91.9m]   CPL: 16000/25000 pasos  aceptación=0.551
[  92.6m]   CPL: 16500/25000 pasos  aceptación=0.551
[  93.4m]   CPL: 17000/25000 pasos  aceptación=0.551
[  94.2m]   CPL: 17500/25000 pasos  aceptación=0.551
[  95.0m]   CPL: 18000/25000 pasos  aceptación=0.551
[  95.8m]   CPL: 18500/25000 pasos  aceptación=0.551
[  96.6m]   CPL: 19000/25000 pasos  aceptación=0.551
[  97.4m]   CPL: 19500/25000 pasos  aceptación=0.551
[  98.3m]   CPL: 20000/25000 pasos  aceptación=0.551
[  99.2m]   CPL: 20500/25000 pasos  aceptación=0.551
[ 100.0m]   CPL: 21000/25000 pasos  aceptación=0.551
[ 100.9m]   CPL: 21500/25000 pasos  aceptación=0.551
[ 101.9m]   CPL: 22000/25000 pasos  aceptación=0.551
[ 102.8m]   CPL: 22500/25000 pasos  aceptación=0.551
[ 103.7m]   CPL: 23000/25000 pasos  aceptación=0.551
[ 104.7m]   CPL: 23500/25000 pasos  aceptación=0.551
[ 105.7m]   CPL: 24000/25000 pasos  aceptación=0.551
[ 106.7m]   CPL: 24500/25000 pasos  aceptación=0.551
[ 107.7m]   CPL: 25000/25000 pasos  aceptación=0.551
[ 108.2m]   τ_max=56.0  N_eff≈44627  ln P_MAP=-4.49
[ 108.2m] 
=================================================================
