[0 : output] Output to be read-from/written-into folder '/mnt/datos/SSEE_data/chains_p6/kids', with prefix 'lcdmfijo'
[1 : p06_growth.cobaya_kids.loglike_lcdm_fijo] Initialized external likelihood.
[2 : p06_growth.cobaya_kids.loglike_lcdm_fijo] Initialized external likelihood.
[3 : p06_growth.cobaya_kids.loglike_lcdm_fijo] Initialized external likelihood.
[0 : p06_growth.cobaya_kids.loglike_lcdm_fijo] Initialized external likelihood.
[2 : mcmc] Getting initial point... (this may take a few seconds)
[0 : mcmc] Getting initial point... (this may take a few seconds)
[3 : mcmc] Getting initial point... (this may take a few seconds)
[1 : mcmc] Getting initial point... (this may take a few seconds)
[0 : mcmc] Initial point: logA:3.04, halo_A:2.6, A_IA:1, dz1:0, dz2:-0.002, dz3:-0.013, dz4:-0.011, dz5:0.006, delta_c:0
[2 : mcmc] Initial point: logA:3.04, halo_A:2.6, A_IA:1, dz1:0, dz2:-0.002, dz3:-0.013, dz4:-0.011, dz5:0.006, delta_c:0
[1 : mcmc] Initial point: logA:3.04, halo_A:2.6, A_IA:1, dz1:0, dz2:-0.002, dz3:-0.013, dz4:-0.011, dz5:0.006, delta_c:0
[3 : mcmc] Initial point: logA:3.04, halo_A:2.6, A_IA:1, dz1:0, dz2:-0.002, dz3:-0.013, dz4:-0.011, dz5:0.006, delta_c:0
[0 : mcmc] Oversampling with factors:
[0 : mcmc] *  1 : ['logA', 'halo_A']
[0 : mcmc] * 18 : ['A_IA', 'dz1', 'dz2', 'dz3', 'dz4', 'dz5', 'delta_c']
[0 : mcmc] Covariance matrix loaded for params ['logA', 'halo_A', 'A_IA', 'dz1', 'dz2', 'dz3', 'dz4', 'dz5', 'delta_c']
[0 : mcmc] All parameters' covariance loaded from given covmat.
[0 : mcmc] Sampling!
[0 : mcmc] Progress @ 2026-09-08 22:22:53 : 1155 steps taken, and 81 accepted.
[3 : mcmc] Progress @ 2026-09-08 22:23:04 : 1252 steps taken, and 86 accepted.
[2 : mcmc] Progress @ 2026-09-08 22:23:09 : 1294 steps taken, and 92 accepted.
[1 : mcmc] Progress @ 2026-09-08 22:23:51 : 1389 steps taken, and 98 accepted.
[0 : mcmc] Progress @ 2026-09-08 22:24:00 : 1242 steps taken, and 87 accepted.
[3 : mcmc] Progress @ 2026-09-08 22:24:04 : 1326 steps taken, and 91 accepted.
[2 : mcmc] Progress @ 2026-09-08 22:24:09 : 1392 steps taken, and 99 accepted.
[1 : mcmc] Progress @ 2026-09-08 22:24:51 : 1489 steps taken, and 105 accepted.
[0 : mcmc] Progress @ 2026-09-08 22:25:00 : 1367 steps taken, and 96 accepted.
[3 : mcmc] Progress @ 2026-09-08 22:25:05 : 1451 steps taken, and 100 accepted.
[2 : mcmc] Progress @ 2026-09-08 22:25:10 : 1492 steps taken, and 106 accepted.
[1 : mcmc] Progress @ 2026-09-08 22:25:52 : 1614 steps taken, and 113 accepted.
[3 : mcmc] Progress @ 2026-09-08 22:26:05 : 1574 steps taken, and 109 accepted.
[0 : mcmc] Progress @ 2026-09-08 22:26:09 : 1483 steps taken, and 104 accepted.
[2 : mcmc] Progress @ 2026-09-08 22:26:10 : 1616 steps taken, and 114 accepted.
[1 : mcmc] Progress @ 2026-09-08 22:26:52 : 1715 steps taken, and 121 accepted.
[3 : mcmc] Progress @ 2026-09-08 22:27:05 : 1671 steps taken, and 115 accepted.
[0 : mcmc] Progress @ 2026-09-08 22:27:09 : 1609 steps taken, and 113 accepted.
[2 : mcmc] Progress @ 2026-09-08 22:27:10 : 1716 steps taken, and 122 accepted.
[1 : mcmc] Progress @ 2026-09-08 22:27:52 : 1841 steps taken, and 130 accepted.
[3 : mcmc] Progress @ 2026-09-08 22:28:06 : 1766 steps taken, and 122 accepted.
[0 : mcmc] Progress @ 2026-09-08 22:28:09 : 1707 steps taken, and 120 accepted.
[2 : mcmc] Progress @ 2026-09-08 22:28:23 : 1843 steps taken, and 131 accepted.
[1 : mcmc] Progress @ 2026-09-08 22:28:53 : 1968 steps taken, and 139 accepted.
[3 : mcmc] Progress @ 2026-09-08 22:29:06 : 1863 steps taken, and 129 accepted.
[0 : mcmc] Progress @ 2026-09-08 22:29:09 : 1832 steps taken, and 129 accepted.
[2 : mcmc] Progress @ 2026-09-08 22:29:26 : 1948 steps taken, and 138 accepted.
[1 : mcmc] Progress @ 2026-09-08 22:29:53 : 2067 steps taken, and 146 accepted.
[3 : mcmc] Progress @ 2026-09-08 22:30:06 : 1959 steps taken, and 136 accepted.
[0 : mcmc] Progress @ 2026-09-08 22:30:10 : 1933 steps taken, and 135 accepted.
[2 : mcmc] Progress @ 2026-09-08 22:30:27 : 2074 steps taken, and 147 accepted.
[1 : mcmc] Progress @ 2026-09-08 22:30:53 : 2168 steps taken, and 153 accepted.
[0 : mcmc] Progress @ 2026-09-08 22:31:10 : 2058 steps taken, and 144 accepted.
[3 : mcmc] Progress @ 2026-09-08 22:31:12 : 2041 steps taken, and 142 accepted.
[2 : mcmc] Progress @ 2026-09-08 22:31:30 : 2179 steps taken, and 155 accepted.
[1 : mcmc] Progress @ 2026-09-08 22:31:53 : 2240 steps taken, and 158 accepted.
[0 : mcmc] Progress @ 2026-09-08 22:32:10 : 2158 steps taken, and 151 accepted.
[3 : mcmc] Progress @ 2026-09-08 22:32:12 : 2164 steps taken, and 151 accepted.
[2 : mcmc] Progress @ 2026-09-08 22:32:30 : 2304 steps taken, and 164 accepted.
[1 : mcmc] Progress @ 2026-09-08 22:32:54 : 2364 steps taken, and 167 accepted.
[3 : mcmc] Progress @ 2026-09-08 22:33:12 : 2234 steps taken, and 156 accepted.
[0 : mcmc] Progress @ 2026-09-08 22:33:15 : 2265 steps taken, and 158 accepted.
[2 : mcmc] Progress @ 2026-09-08 22:33:30 : 2401 steps taken, and 170 accepted.
[1 : mcmc] Progress @ 2026-09-08 22:33:54 : 2435 steps taken, and 172 accepted.
[3 : mcmc] Progress @ 2026-09-08 22:34:12 : 2305 steps taken, and 161 accepted.
[0 : mcmc] Progress @ 2026-09-08 22:34:18 : 2368 steps taken, and 166 accepted.
[2 : mcmc] Progress @ 2026-09-08 22:34:39 : 2489 steps taken, and 177 accepted.
[1 : mcmc] Progress @ 2026-09-08 22:34:54 : 2563 steps taken, and 181 accepted.
[3 : mcmc] Progress @ 2026-09-08 22:35:18 : 2414 steps taken, and 169 accepted.
[0 : mcmc] Progress @ 2026-09-08 22:35:18 : 2467 steps taken, and 172 accepted.
[2 : mcmc] Progress @ 2026-09-08 22:35:39 : 2585 steps taken, and 184 accepted.
[1 : mcmc] Progress @ 2026-09-08 22:35:54 : 2661 steps taken, and 188 accepted.
[3 : mcmc] Progress @ 2026-09-08 22:36:18 : 2510 steps taken, and 175 accepted.
[0 : mcmc] Progress @ 2026-09-08 22:36:23 : 2549 steps taken, and 178 accepted.
[2 : mcmc] Progress @ 2026-09-08 22:36:39 : 2682 steps taken, and 191 accepted.
[1 : mcmc] Progress @ 2026-09-08 22:36:55 : 2760 steps taken, and 195 accepted.
[3 : mcmc] Progress @ 2026-09-08 22:37:18 : 2608 steps taken, and 182 accepted.
[0 : mcmc] Progress @ 2026-09-08 22:37:24 : 2648 steps taken, and 186 accepted.
[2 : mcmc] Progress @ 2026-09-08 22:37:39 : 2779 steps taken, and 198 accepted.
[1 : mcmc] Progress @ 2026-09-08 22:37:55 : 2858 steps taken, and 202 accepted.
[3 : mcmc] Progress @ 2026-09-08 22:38:19 : 2707 steps taken, and 189 accepted.
[0 : mcmc] Progress @ 2026-09-08 22:38:29 : 2731 steps taken, and 192 accepted.
[2 : mcmc] Progress @ 2026-09-08 22:38:39 : 2905 steps taken, and 207 accepted.
[1 : mcmc] Progress @ 2026-09-08 22:38:55 : 2956 steps taken, and 209 accepted.
[3 : mcmc] Progress @ 2026-09-08 22:39:19 : 2805 steps taken, and 196 accepted.
[0 : mcmc] Progress @ 2026-09-08 22:39:29 : 2830 steps taken, and 198 accepted.
[2 : mcmc] Progress @ 2026-09-08 22:39:40 : 3029 steps taken, and 215 accepted.
[1 : mcmc] Progress @ 2026-09-08 22:39:55 : 3028 steps taken, and 214 accepted.
[3 : mcmc] Progress @ 2026-09-08 22:40:19 : 2876 steps taken, and 201 accepted.
[0 : mcmc] Progress @ 2026-09-08 22:40:30 : 2930 steps taken, and 205 accepted.
[2 : mcmc] Progress @ 2026-09-08 22:40:47 : 3114 steps taken, and 222 accepted.
[1 : mcmc] Progress @ 2026-09-08 22:40:56 : 3126 steps taken, and 221 accepted.
[3 : mcmc] Progress @ 2026-09-08 22:41:19 : 2973 steps taken, and 207 accepted.
[0 : mcmc] Progress @ 2026-09-08 22:41:30 : 3030 steps taken, and 212 accepted.
[2 : mcmc] Progress @ 2026-09-08 22:41:48 : 3214 steps taken, and 229 accepted.
[1 : mcmc] Progress @ 2026-09-08 22:41:56 : 3224 steps taken, and 228 accepted.
[3 : mcmc] Progress @ 2026-09-08 22:42:19 : 3097 steps taken, and 216 accepted.
[0 : mcmc] Progress @ 2026-09-08 22:42:30 : 3156 steps taken, and 222 accepted.
[2 : mcmc] Progress @ 2026-09-08 22:42:48 : 3338 steps taken, and 238 accepted.
[1 : mcmc] Progress @ 2026-09-08 22:43:08 : 3320 steps taken, and 235 accepted.
[3 : mcmc] Progress @ 2026-09-08 22:43:20 : 3195 steps taken, and 222 accepted.
[0 : mcmc] Progress @ 2026-09-08 22:43:38 : 3272 steps taken, and 230 accepted.
[2 : mcmc] Progress @ 2026-09-08 22:43:48 : 3409 steps taken, and 243 accepted.
[1 : mcmc] Progress @ 2026-09-08 22:44:08 : 3392 steps taken, and 239 accepted.
