[   0.0m] =================================================================
[   0.0m] SSEE-V3.6 — MCMC PROFESIONAL (overnight)
[  47.3m]   ΛCDM: 14000/25000 pasos  aceptación=0.647
[  47.7m]   ΛCDM: 14500/25000 pasos  aceptación=0.647
[  48.1m]   ΛCDM: 15000/25000 pasos  aceptación=0.647
[  48.5m]   ΛCDM: 15500/25000 pasos  aceptación=0.647
[  48.9m]   ΛCDM: 16000/25000 pasos  aceptación=0.647
[  49.3m]   ΛCDM: 16500/25000 pasos  aceptación=0.647
[  49.7m]   ΛCDM: 17000/25000 pasos  aceptación=0.647
[  50.1m]   ΛCDM: 17500/25000 pasos  aceptación=0.647
[  50.5m]   ΛCDM: 18000/25000 pasos  aceptación=0.647
[  50.9m]   ΛCDM: 18500/25000 pasos  aceptación=0.647
[  51.3m]   ΛCDM: 19000/25000 pasos  aceptación=0.647
[  51.7m]   ΛCDM: 19500/25000 pasos  aceptación=0.647
[  52.1m]   ΛCDM: 20000/25000 pasos  aceptación=0.647
[  52.6m]   ΛCDM: 20500/25000 pasos  aceptación=0.647
[  53.0m]   ΛCDM: 21000/25000 pasos  aceptación=0.647
[  53.4m]   ΛCDM: 21500/25000 pasos  aceptación=0.647
[  53.8m]   ΛCDM: 22000/25000 pasos  aceptación=0.647
[  54.2m]   ΛCDM: 22500/25000 pasos  aceptación=0.647
[  54.7m]   ΛCDM: 23000/25000 pasos  aceptación=0.647
[  55.1m]   ΛCDM: 23500/25000 pasos  aceptación=0.647
[  55.5m]   ΛCDM: 24000/25000 pasos  aceptación=0.647
[  55.9m]   ΛCDM: 24500/25000 pasos  aceptación=0.647
[  56.4m]   ΛCDM: 25000/25000 pasos  aceptación=0.647
[  56.5m]   τ_max=39.8  N_eff≈62886  ln P_MAP=-15.79
[  56.5m] 
[CPL]  ndim=5  100w × 25000s  (guardado cada 500)
[  56.5m]   Burn-in: 5000 pasos...
[  61.9m]   Burn-in completo. Iniciando producción...
[  62.4m]   CPL: 500/25000 pasos  aceptación=0.550
[  63.0m]   CPL: 1000/25000 pasos  aceptación=0.550
[  63.5m]   CPL: 1500/25000 pasos  aceptación=0.550
[  64.0m]   CPL: 2000/25000 pasos  aceptación=0.551
[  64.6m]   CPL: 2500/25000 pasos  aceptación=0.550
[  65.2m]   CPL: 3000/25000 pasos  aceptación=0.550
[  65.7m]   CPL: 3500/25000 pasos  aceptación=0.551
[  66.3m]   CPL: 4000/25000 pasos  aceptación=0.551
[  66.8m]   CPL: 4500/25000 pasos  aceptación=0.551
[  67.4m]   CPL: 5000/25000 pasos  aceptación=0.551
[  67.9m]   CPL: 5500/25000 pasos  aceptación=0.551
[  68.5m]   CPL: 6000/25000 pasos  aceptación=0.551
[  69.0m]   CPL: 6500/25000 pasos  aceptación=0.551
[  69.6m]   CPL: 7000/25000 pasos  aceptación=0.551
