# Matter power spectrum P(k) at redshift z=0
# for k=1.03921e-05 to 10.2236 h/Mpc,
# number of wavenumbers equal to 321
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       6.865972285163e-03       1.890837865415e+04 
       7.189555589921e-03       1.940611131962e+04 
       7.528388906005e-03       1.989880618700e+04 
       7.883190944307e-03       2.038457783799e+04 
       8.254714287520e-03       2.086140995151e+04 
       8.643746986466e-03       2.132715214216e+04 
       9.051114231658e-03       2.177950666652e+04 
       9.477680103639e-03       2.221604922630e+04 
       9.924349405814e-03       2.263419205151e+04 
       1.039206958366e-02       2.303118465299e+04 
       1.088183273438e-02       2.340419118012e+04 
       1.139467771129e-02       2.375018954547e+04 
       1.193169232733e-02       2.406607918866e+04 
       1.249401566250e-02       2.434866448547e+04 
       1.308284048000e-02       2.459475476368e+04 
       1.369941575621e-02       2.480106125562e+04 
       1.434504932994e-02       2.496434347041e+04 
       1.502111067657e-02       2.508134189876e+04 
       1.572903381279e-02       2.514886919753e+04 
       1.647032033825e-02       2.516387136929e+04 
       1.724654261989e-02       2.512345133297e+04 
       1.805934712441e-02       2.502503382874e+04 
       1.891045790046e-02       2.486638105282e+04 
       1.980168020152e-02       2.464580026118e+04 
       2.073490420996e-02       2.436225876246e+04 
       2.171210874690e-02       2.401533301826e+04 
       2.273536467987e-02       2.360570093082e+04 
       2.380683738526e-02       2.313479999269e+04 
       2.492878695757e-02       2.260530328953e+04 
       2.610356373618e-02       2.202098253165e+04 
       2.733359503220e-02       2.138660925368e+04 
       2.862135672322e-02       2.070860682265e+04 
       2.996932101025e-02       1.999458667237e+04 
       3.137986999238e-02       1.925343481895e+04 
       3.285516540525e-02       1.849518248383e+04 
       3.439697013166e-02       1.773059258943e+04 
       3.600642922597e-02       1.697142069440e+04 
       3.768383794187e-02       1.622926767777e+04 
       3.942844807189e-02       1.551545679648e+04 
       4.123838150078e-02       1.484015988573e+04 
       4.311071572573e-02       1.421169197526e+04 
       4.504176876490e-02       1.363602294481e+04 
       4.702754699134e-02       1.311594634511e+04 
       4.906425842990e-02       1.265105633654e+04 
       5.114877126325e-02       1.223810595533e+04 
       5.327892568756e-02       1.187102899507e+04 
       5.545366677103e-02       1.154156244325e+04 
       5.767302197120e-02       1.123989923438e+04 
       5.993797674207e-02       1.095527613071e+04 
       6.225030388495e-02       1.067659716030e+04 
       6.461238848450e-02       1.039317422719e+04 
       6.702707267303e-02       1.009537282509e+04 
       6.949753014242e-02       9.775387546505e+03 
       7.202717126523e-02       9.427849266584e+03 
       7.461957513978e-02       9.050420724084e+03 
       7.727844329761e-02       8.644161105441e+03 
       8.000756984614e-02       8.213611518336e+03 
       8.281082355548e-02       7.766513034790e+03 
       8.569213832516e-02       7.313282238223e+03 
       8.865550933918e-02       6.865963634618e+03 
       9.170499294536e-02       6.437096858519e+03 
       9.484470886349e-02       6.038403501628e+03 
       9.807884375248e-02       5.679499964074e+03 
       1.014116554790e-01       5.366842047946e+03 
       1.048474776542e-01       5.102955047330e+03 
       1.083907241672e-01       4.885944723023e+03 
       1.120458935571e-01       4.709471203870e+03 
       1.158175731488e-01       4.563034860906e+03 
       1.197104429383e-01       4.432928732528e+03 
       1.237292792558e-01       4.303721080825e+03 
       1.278789582701e-01       4.160779646733e+03 
       1.321644594233e-01       3.992959993775e+03 
       1.365908689068e-01       3.795437308996e+03 
       1.411633833065e-01       3.571205515660e+03 
       1.458873135623e-01       3.330707324059e+03 
       1.507680894000e-01       3.089495267257e+03 
       1.558112644067e-01       2.864377715858e+03 
       1.610225219332e-01       2.669207033504e+03 
       1.664076820194e-01       2.511408688449e+03 
       1.719727095476e-01       2.390108388531e+03 
       1.777237238441e-01       2.296299555520e+03 
