# Matter power spectrum P(k) at redshift z=0
# for k=1.04892e-05 to 10.3191 h/Mpc,
# number of wavenumbers equal to 321
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       6.930137888453e-03       1.826266477085e+04 
       7.256745224929e-03       1.874431319374e+04 
       7.598745090955e-03       1.922123387030e+04 
       7.956862914100e-03       1.969161946519e+04 
       8.331858310282e-03       2.015352924693e+04 
       8.724526695011e-03       2.060490521770e+04 
       9.135700970578e-03       2.104352235756e+04 
       9.566253292749e-03       2.146703407026e+04 
       1.001709692072e-02       2.187292911262e+04 
       1.048918815428e-02       2.225856353535e+04 
       1.098352836223e-02       2.262117581474e+04 
       1.150116610641e-02       2.295788324294e+04 
       1.204319936590e-02       2.326570752224e+04 
       1.261077786590e-02       2.354160198716e+04 
       1.320510551652e-02       2.378248843079e+04 
       1.382744296637e-02       2.398520804385e+04 
       1.447911027663e-02       2.414655637260e+04 
       1.516148972102e-02       2.426336340792e+04 
       1.587602871779e-02       2.433249620691e+04 
       1.662424289969e-02       2.435094817059e+04 
       1.740771932816e-02       2.431591452561e+04 
       1.822811985689e-02       2.422488166855e+04 
       1.908718464664e-02       2.407567379991e+04 
       1.998673582213e-02       2.386662069542e+04 
       2.092868123137e-02       2.359671212279e+04 
       2.191501819131e-02       2.326567583017e+04 
       2.294783693040e-02       2.287402581708e+04 
       2.402932308048e-02       2.242302916337e+04 
       2.516175790149e-02       2.191513669242e+04 
       2.634751379232e-02       2.135393421756e+04 
       2.758904093915e-02       2.074416002670e+04 
       2.888883871888e-02       2.009194398266e+04 
       3.024940307803e-02       1.940460869340e+04 
       3.167313944731e-02       1.869068302091e+04 
       3.316223143534e-02       1.795969117585e+04 
       3.471846083297e-02       1.722232048516e+04 
       3.634298667703e-02       1.648954567022e+04 
       3.803611102969e-02       1.577285376380e+04 
       3.979708317524e-02       1.508309298483e+04 
       4.162401175421e-02       1.443017674131e+04 
       4.351395028782e-02       1.382214878483e+04 
       4.546318399981e-02       1.326477592341e+04 
       4.746768141145e-02       1.276085102345e+04 
       4.952361251332e-02       1.231010992229e+04 
       5.162781209834e-02       1.190932228793e+04 
       5.377809531483e-02       1.155281374715e+04 
       5.597339252039e-02       1.123253035084e+04 
       5.821372713141e-02       1.093907921428e+04 
       6.050009034699e-02       1.066204924457e+04 
       6.283426896592e-02       1.039078568325e+04 
       6.521866860954e-02       1.011495203178e+04 
       6.765615689405e-02       9.825227666400e+03 
       7.014993661546e-02       9.514112228109e+03 
       7.270344984382e-02       9.176381359269e+03 
       7.532030921864e-02       8.809812646747e+03 
       7.800425113574e-02       8.415396603047e+03 
       8.075910554658e-02       7.997515074303e+03 
       8.358877783248e-02       7.563665535428e+03 
       8.649723915171e-02       7.123841107014e+03 
       8.948852253863e-02       6.689743070733e+03 
       9.256672276964e-02       6.273449042939e+03 
       9.573599858493e-02       5.886298897697e+03 
       9.900057628554e-02       5.537602094206e+03 
       1.023647540408e-01       5.233618437373e+03 
       1.058329064679e-01       4.976781289801e+03 
       1.094094892092e-01       4.765304538439e+03 
       1.130990433461e-01       4.593030178912e+03 
       1.169061995764e-01       4.449841698011e+03 
       1.208356821369e-01       4.322464723033e+03 
       1.248923125024e-01       4.196016389602e+03 
       1.290810129243e-01       4.056306921629e+03 
       1.334068098980e-01       3.892613964480e+03 
       1.378748376713e-01       3.700255216148e+03 
       1.424903419238e-01       3.482110479147e+03 
       1.472586837624e-01       3.248281218629e+03 
       1.521853441929e-01       3.013793494399e+03 
       1.572759292412e-01       2.794892829661e+03 
       1.625361759078e-01       2.604975488989e+03 
       1.679719591548e-01       2.451229652424e+03 
       1.735893001313e-01       2.332817473988e+03 
       1.793943758598e-01       2.241030664318e+03 
       1.853935306156e-01       2.161952397284e+03 
       1.915932892435e-01       2.079811837087e+03 
       1.980003726743e-01       1.981340758079e+03 
       2.046217159164e-01       1.863117776755e+03 
       2.114644888204e-01       1.732350791589e+03 
       2.185361199372e-01       1.602687650402e+03 
       2.258443238197e-01       1.487366363016e+03 
       2.333971321546e-01       1.393986852338e+03 
       2.412029291566e-01       1.321868116533e+03 
       2.492704917122e-01       1.262158431131e+03 
       2.576090348312e-01       1.202543109743e+03 
       2.662282630514e-01       1.134581256745e+03 
       2.751384285472e-01       1.058173404103e+03 
       2.843503968272e-01       9.809818606706e+02 
       2.938757210631e-01       9.126573586620e+02 
       3.037267262914e-01       8.571072313132e+02 
       3.139166049620e-01       8.105503804486e+02 
       3.244595255930e-01       7.656573685872e+02 
       3.353707566271e-01       7.174143462520e+02 
       3.466668079851e-01       6.673848977663e+02 
       3.583655932783e-01       6.207609777893e+02 
       3.704866161819e-01       5.807456639421e+02 
       3.830511850868e-01       5.454492200608e+02 
       3.960826608262e-01       5.108856938259e+02 
       4.096067430028e-01       4.758927876810e+02 
       4.236518011708e-01       4.425100653042e+02 
       4.382492577752e-01       4.124758806593e+02 
       4.534340301767e-01       3.851200746214e+02 
       4.692450390414e-01       3.586569849041e+02 
       4.857257894714e-01       3.329447801438e+02 
       5.029250288693e-01       3.091351048019e+02 
       5.208974807418e-01       2.872171800436e+02 
       5.397046450993e-01       2.662567043639e+02 
       5.594156419352e-01       2.463356010807e+02 
       5.801080520984e-01       2.278032907177e+02 
       6.018686771492e-01       2.103695305451e+02 
