# Matter power spectrum P(k) at redshift z=0
# for k=1.04182e-05 to 5.31614 h/Mpc,
# number of wavenumbers equal to 556
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.347222799632e-02       2.462749916096e+04 
       1.360103084761e-02       2.467136047373e+04 
       1.372986999292e-02       2.471293756545e+04 
       1.385874554293e-02       2.475249172204e+04 
       1.398765763138e-02       2.478991773986e+04 
       1.411660641470e-02       2.482536205110e+04 
       1.424559207170e-02       2.485854165744e+04 
       1.437461480320e-02       2.488979179688e+04 
       1.450367483186e-02       2.491901265503e+04 
       1.463277240182e-02       2.494626170363e+04 
       1.476190777862e-02       2.497156184935e+04 
       1.489108124889e-02       2.499489255307e+04 
       1.502029312029e-02       2.501636883656e+04 
       1.514954372135e-02       2.503593082776e+04 
       1.527883340136e-02       2.505361740497e+04 
       1.540816253027e-02       2.506952230839e+04 
       1.553753149869e-02       2.508353065726e+04 
       1.566694071781e-02       2.509578955426e+04 
       1.579639061942e-02       2.510624555518e+04 
       1.592588165586e-02       2.511498870749e+04 
       1.605541430014e-02       2.512204050269e+04 
       1.618498904592e-02       2.512743316755e+04 
       1.631460640758e-02       2.513104869939e+04 
       1.644426692036e-02       2.513301221509e+04 
       1.657397114042e-02       2.513340613664e+04 
       1.670371964497e-02       2.513216805989e+04 
       1.683351303244e-02       2.512933855673e+04 
       1.696335192260e-02       2.512496826108e+04 
       1.709323695679e-02       2.511831292791e+04 
       1.722316879805e-02       2.511164022358e+04 
       1.735314813138e-02       2.510269726491e+04 
       1.748317566398e-02       2.509232492295e+04 
       1.761325212542e-02       2.508045105092e+04 
       1.774337826800e-02       2.506724767926e+04 
       1.787355486696e-02       2.505199725177e+04 
       1.800378272080e-02       2.503565835924e+04 
       1.813406265159e-02       2.501798625846e+04 
       1.826439550530e-02       2.500008933226e+04 
       1.839478215214e-02       2.498002148258e+04 
       1.852522348693e-02       2.495856853327e+04 
       1.865572042947e-02       2.493469874752e+04 
       1.878627392495e-02       2.491164998121e+04 
       1.891688494434e-02       2.488641272299e+04 
       1.904755448485e-02       2.485929131779e+04 
       1.917828357034e-02       2.483101914419e+04 
       1.930907325183e-02       2.480338657085e+04 
       1.943992460796e-02       2.477332561659e+04 
